id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20815,The Bosphorus from The Comfy Hill,78838,Gülder,,Besiktas,41.06976,29.04379,Entire home/apt,1235,365,41,2018-11-07,0.29,2,363,0,
27271,Lovely apartment in perfect location,117026,Mutlu,,Beyoglu,41.03254,28.98153,Entire home/apt,408,30,2,2018-05-04,0.02,1,333,0,
28277,Duplex Apartment 11 with Terrace,121607,Alen,,Sisli,41.04672,28.98402,Entire home/apt,688,14,1,2021-05-15,0.13,16,357,1,
28318,Cosy home overlooking Bosphorus,121721,Aydin,,Sariyer,41.09104,29.0558,Entire home/apt,1412,3,0,,,1,88,0,
29241,"↪ Istanbul, Your second house",125742,Şevki,,Beyoglu,41.04803,28.95227,Private room,515,3,0,,,1,365,0,
30697,nice home in popular area,132137,Nan,,Beyoglu,41.03213,28.978,Private room,1166,1,1,2010-06-14,0.01,1,365,0,
33368,Deluxe double bedroom @ Nisantasi,135136,Ozlem,,Sisli,41.05376,28.99876,Private room,616,2,1,2014-10-21,0.01,2,364,0,
34177,PETIT HOUSE,147330,Ercan,,Besiktas,41.06681,29.04035,Entire home/apt,412,10,8,2016-07-14,0.09,2,302,0,
34925,A room in galata beyoglu,150435,Esr,,Beyoglu,41.02694,28.97628,Private room,711,1,0,,,1,365,0,
35580,Sea View terrace  House,153032,Michel,,Beyoglu,41.0347,28.97369,Entire home/apt,315,5,39,2021-12-17,0.43,2,244,2,
35938,Cosy Room in Istanbul Center,154245,Sinan,,Sisli,41.04962,28.99846,Private room,773,1,0,,,1,365,0,
41753,Emir Apartment / Penthouse,182639,Mehmet Ali,,Beyoglu,41.02907,28.97794,Entire home/apt,805,5,46,2017-05-21,0.34,6,179,0,
42246,Room on a Hill - quiet and comfy,184607,Mina,,Besiktas,41.06429,29.03945,Entire home/apt,700,3,45,2016-11-07,0.35,1,363,0,
44421,Beautiful Studio With A View,194194,Zeyno,,Beyoglu,41.02942,28.98154,Private room,1083,180,86,2015-10-06,0.62,2,270,0,
44429,"Cozy, central, lovely&check out the bathroom!*",194194,Zeyno,,Beyoglu,41.03084,28.97986,Entire home/apt,408,5,24,2021-03-14,0.58,2,31,2,
47377,Double Room in Taksim,214374,Bertan Kemal,,Beyoglu,41.0337,28.99039,Private room,515,3,0,,,1,365,0,
48346,Charming Apartment in Kuzguncuk,220212,Yesim,,Uskudar,41.03258,29.03239,Entire home/apt,991,3,20,2021-11-03,0.18,4,359,7,
52828,Prince Apartment/Penthouse,182639,Mehmet Ali,,Beyoglu,41.0269,28.97924,Entire home/apt,921,5,27,2017-03-14,0.21,6,181,0,
73477,Cozy Flat in center of Istanbul,383789,Berat,,Beyoglu,41.03441,28.98659,Entire home/apt,350,2,0,,,1,347,0,
77292,3 Bedroom Apartment with Terrace Bosphorus View,414003,Fasedis,,Beyoglu,41.03583,28.98989,Entire home/apt,1189,3,6,2021-10-31,0.36,10,340,4,
88949,Wonderful House with Historical View,485384,Alev,,Beyoglu,41.03319,28.98071,Entire home/apt,1283,3,91,2021-10-23,0.70,2,361,5,
101397,❛Cozy • Clean • Central • Room❜,531367,Guliz,,Beyoglu,41.02937,28.98044,Private room,152,2,68,2020-01-02,0.54,1,274,0,
108164,Kurucesme design amazing seaview  forest room,213410,Evrim,,Besiktas,41.06341,29.0364,Private room,288,7,6,2018-12-31,0.05,4,0,0,
